título,descripción,categoría,subcategoría,edad_min,edad_max,requiere_inscripcion,periodicidad,día_días,hora_inicio,hora_fin,fecha_inicio,fecha_fin,ciudad,distrito,precio_valor,recomendado,tiene_url_info,tiene_url_imagen
Érase una vez un pato - Teatro La Proa (Cuba),"La noticia sobre la existencia de una extraña y peligrosa ave es el detonante para que el titiritero Gatillo seduzca a sus amigos, el Guardabosque y el Biólogo, y les haga interpretar la historia de un Pato vanidoso e inconforme que intenta convertirse en Rey. Para lograrlo, el Pato engaña a los animales que se encuentra a su paso, a quienes les roba. Al transformarse con atributos ajenos, el Pato es víctima de su ambición. “Érase una vez un pato” es una parábola titiritera contra el egoísmo y la superficialidad. Es un canto a la autoaceptación y al reconocimiento de los verdaderos valores de la vida.",Aire Libre. Cultura y Espectáculos,Actividades con animales. Teatro Infantil,6,18,,,"sábado, domingo",18:00,,03/05/2025,04/05/2025,Madrid,Retiro,0.0,True,False,True
Womagis,Edad recomendada de 3 a 9 años.,No especificada,No especificada,3,9,,,sábado,12:00,,03/05/2025,03/05/2025,Madrid,Retiro,0.0,True,False,True
REUTILIZ-ARTE: Mayo el mes de las flores,Taller de 11 a 12:30 horas.,Cultura y Espectáculos,Talleres,6,18,,,sábado,11:00,12:30,03/05/2025,03/05/2025,Madrid,Usera,0.0,True,True,True
La magia existe,"EL mago Héctor, de la escuela de Ana Tamariz, os llenara de ilusión con una magia que rescatara al niñ@ que llevamos dentro…Apariciones, desapariciones, variedad de juegos y magia participativa es su especialidad.",Cultura y Espectáculos,Magia,,,,,sábado,19:00,,03/05/2025,03/05/2025,Madrid,,0.0,True,True,True
Ludoteca,"Sábados 3, 10, 17, 24 y 31 de mayo, de 10:30 a 13:30 h.",Educación,Ludotecas,4,10,True,,sábado,,,03/05/2025,31/05/2025,Madrid,Centro,0.0,True,True,False
Títeres: El barquillero de la pradera de San Isidro,Compañía Titiricuenta.,Cultura y Espectáculos,Teatro Infantil,3,3,,,sábado,18:00,,03/05/2025,03/05/2025,Madrid,Centro,0.0,True,True,False
Ludotecas,"Sábados 3, 10, 17, 24 y 31 de mayo, de 10:30 a 13:30 h.",No especificada,No especificada,4,10,True,,sábado,,,03/05/2025,31/05/2025,Madrid,Centro,0.0,True,True,False
Sendas Guiadas,Para público general. Consultar edad mínima y horarios. Máximo 20 plazas.,No especificada,No especificada,,,,,sábado,,,03/05/2025,31/05/2025,Madrid,Centro,0.0,True,True,False
Talleres Familiares,Para familias con menores de diferentes edades. Máximo 20 plazas.,Cultura y Espectáculos,Talleres,3,5,,,"viernes, sábado, domingo",,,03/05/2025,31/05/2025,Madrid,Centro,0.0,True,True,False
Crispina y Molinilla,Los domingos del Pozo.,No especificada,No especificada,,,,,domingo,12:00,,04/05/2025,04/05/2025,Madrid,Puente de Vallecas,0.0,True,True,True
"Era casi, casi, una vez",Terra fusión,No especificada,No especificada,,,,,domingo,12:00,,04/05/2025,04/05/2025,Madrid,Centro,0.0,True,True,True
¿Un Grúfa qué?,Andrea Ortúzar,No especificada,No especificada,,,,,domingo,12:00,,04/05/2025,04/05/2025,Madrid,,0.0,True,True,True
Cabaret ovejuno,Vidas de Alambre.,No especificada,No especificada,3,18,,,domingo,18:00,,04/05/2025,04/05/2025,Madrid,Hortaleza,0.0,True,True,True
El pirata Serafín,Compañía Rafathor.,Cultura y Espectáculos,Teatro Infantil,3,18,,,domingo,12:00,,04/05/2025,04/05/2025,Madrid,Centro,0.0,True,True,True
"Exposición ""Fervor""",Kike García. Fernando Sevillano,Cultura y Espectáculos,Exposiciones,,,,,"lunes, jueves",,,05/05/2025,15/05/2025,Madrid,Chamberí,0.0,True,True,True
'A jugar con los libros',"Nunca es demasiado pronto para iniciar a los bebés en el maravilloso mundo del libro y la lectura. Además de estimular su imaginación, descubrirán colores, sonidos y palabras que enriquecerán su vocabulario.",Cultura y Espectáculos,Club de lectura,,,True,,martes,18:00,,06/05/2025,06/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
Un mundo de cuentos,"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.",Cultura y Espectáculos,Club de lectura. Magia,4,18,True,,martes,18:00,,06/05/2025,06/05/2025,Madrid,Carabanchel,0.0,True,True,True
