ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;MODELO;ACCESIBLE
"25590";"Balancín en Área Infantil";"205";"ROSAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"448696.66";"4475656.81";"ETRS89";40.42996774;-3.60483415;"CALLE";"MANCHESTER";"12";"28022";"C · CALLE MÁNCHESTER , ASCENDIENTE 1: 205 · LAS R";"31043313";"2009-01-01 00:00:00.0";"2006005";"AE21";"0921 · LORO";
"25589";"Balancín en Área Infantil";"205";"ROSAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"448698.71";"4475655.19";"ETRS89";40.42995327;-3.60480986;"CALLE";"MANCHESTER";"12";"28022";"C · CALLE MÁNCHESTER , ASCENDIENTE 1: 205 · LAS R";"31043313";"2009-01-01 00:00:00.0";"2006004";"AE21";"0857 · CERDITO";
"25541";"Balancín en Área Infantil";"201";"SIMANCAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"447099.110";"4475880.090";"ETRS89";40.43187912;-3.62368581;"CALLE";"VIRGEN DE LA OLIVA";"32";"28037";"C · CALLE VIRGEN DE LA OLIVA 32 - 34 , ASCENDIENT";"11134577";"2008-01-01 00:00:00.0";"2001805";"AE21";"1120 · MOTO";
"25520";"Balancín en Área Infantil";"208";"EL SALVADOR";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"445349.620";"4477614.140";"ETRS89";40.44738728;-3.64445971;"CALLE";"TELEMACO";"14";"28027";"C · CALLE TELEMACO 14 , ASCENDIENTE 1: 208 · SALV";"11139295";"2008-01-01 00:00:00.0";"2020805";"AE21";"1036 · ELEFANTE";
"25072";"Balancín en Área Infantil";"166";"VALDEFUENTES";"16";"HORTALEZA";"OPERATIVO";"443790.096";"4482160.872";"ETRS89";40.48824238;-3.66325192;"CALLE";"OÑA";"81";"28050";"C · CALLE OÑA 81 , ASCENDIENTE 1: 166 · VALDEFUEN";"11122410";"2000-01-01 00:00:00.0";"1615403";"AE21";"0726 · TORTUGA";
"25068";"Balancín en Área Infantil";"166";"VALDEFUENTES";"16";"HORTALEZA";"OPERATIVO";"444147.037";"4482228.040";"ETRS89";40.48887156;-3.65904636;"PLAZA";"ALCALDE MORENO TORRES";"1 A";"28050";"C · CALLE VICENTE BLASCO IBAÑEZ , ASCENDIENTE 1:";"31034510";"2003-01-01 00:00:00.0";"1614903";"AE21";"PERRITO MC-04";
"25065";"Balancín en Área Infantil";"166";"VALDEFUENTES";"16";"HORTALEZA";"OPERATIVO";"444866.026";"4481629.912";"ETRS89";40.48353141;-3.65051103;"CALLE";"PINTOR LUCIO MUÑOZ";"35";"28050";"C · CALLE PINTOR LUCIO MUÑOZ 35 , ASCENDIENTE 1:";"31000442";"2004-01-01 00:00:00.0";"1614708";"AE21";"0224 · GATO";
"24998";"Balancín en Área Infantil";"163";"CANILLAS";"16";"HORTALEZA";"OPERATIVO";"444886.782";"4479075.883";"ETRS89";40.46052485;-3.65004424;"CALLE";"GOMEZNARRO";"96";"28043";"C · CALLE GOMEZNARRO 120 , ASCENDIENTE 1: 163 · C";"11116157";"2005-01-01 00:00:00.0";"1610203";"AE21";"0819 · WOOBY";
"24981";"Balancín en Área Infantil";"163";"CANILLAS";"16";"HORTALEZA";"OPERATIVO";"445496.971";"4478964.026";"ETRS89";40.45955744;-3.64283807;"CALLE";"SILVANO";"63";"28043";"C · CALLE ANDORRA 89 , ASCENDIENTE 1: 163 · CANIL";"20065719";"2005-01-01 00:00:00.0";"1608805";"AE21";"0147 · CONEJO";
"24978";"Balancín en Área Infantil";"163";"CANILLAS";"16";"HORTALEZA";"OPERATIVO";"445500.085";"4478970.038";"ETRS89";40.45961180;-3.64280186;"CALLE";"SILVANO";"63";"28043";"C · CALLE ANDORRA 89 , ASCENDIENTE 1: 163 · CANIL";"20065719";"2005-01-01 00:00:00.0";"1608802";"AE21";"1042 · GALLINA";
"20686";"Columpio en Área Infantil";"065";"VALDEACEDERAS";"06";"TETUAN";"OPERATIVO";"440173.906";"4480333.571";"ETRS89";40.47152865;-3.70574597;"PASEO";"DIRECCION";"306";"28029";"Pº · PASEO LA DIRECCIÓN 306 , ASCENDIENTE 1: 065";"11034936";"2007-09-06 00:00:00.0";"0601506";"AE21";"JMC-30";"NO"
"20675";"Columpio en Área Infantil";"054";"HISPANOAMERICA";"05";"CHAMARTIN";"OPERATIVO";"441803.588";"4478597.685";"ETRS89";40.45600682;-3.68636336;"CALLE";"PADRE DAMIAN";"28";"28036";"C · CALLE PADRE DAMIAN 26 , ASCENDIENTE 1: 054 ·";"20174327";"2007-04-19 00:00:00.0";"0505518";"AE21";"0816 · DOS ASIENTOS PLANOS";"NO"
"20656";"Columpio en Área Infantil";"052";"PROSPERIDAD";"05";"CHAMARTIN";"OPERATIVO";"443658.789";"4477388.27";"ETRS89";40.44523966;-3.66437740;"CALLE";"PADRE CLARET";"2";"28002";"JARDINES LUIS DE TRELLES , ASCENDIENTE 1: 0";"11022857";"2017-03-15 00:00:00.0";"0503805";"AE21";;"NO"
"20643";"Columpio en Área Infantil";"053";"CIUDAD JARDIN";"05";"CHAMARTIN";"OPERATIVO";"442602.68";"4477370.978";"ETRS89";40.44501164;-3.67682869;"CALLE";"SUERO DE QUIÑONES";"18";"28002";"CALLE SUERO DE QUIÑONES 18 , ASCENDIENTE 1: 0";"20103044";"2004-09-13 00:00:00.0";"0502908";"AE21";;"NO"
"20640";"Columpio en Área Infantil";"054";"HISPANOAMERICA";"05";"CHAMARTIN";"OPERATIVO";"442978.347";"4478385.892";"ETRS89";40.45418032;-3.67249025;"CALLE";"VICTOR DE LA SERNA";"19";"28016";"C · CALLE VICTOR DE LA SERNA , ASCENDIENTE 1: 054";"11024289";"2007-10-31 00:00:00.0";"0502612";"AE21";"0816 · DOS ASIENTOS PLANOS";"NO"
"20626";"Columpio en Área Infantil";"055";"NUEVA ESPAÑA";"05";"CHAMARTIN";"OPERATIVO";"443049.223";"4479264.733";"ETRS89";40.46210219;-3.67173327;"CALLE";"TORPEDERO TUCUMAN";"24";"28016";"C · CALLE TORPEDERO TUCUMÁN , ASCENDIENTE 1: 055";"11026835";"2018-10-17 00:00:00.0";"0501205";"AE21";;"NO"
"20604";"Columpio en Área Infantil";"044";"GUINDALERA";"04";"SALAMANCA";"OPERATIVO";"443247.22";"4475643.541";"ETRS89";40.42949427;-3.66907449;"CALLE";"FRANCISCO SILVELA";"4";"28028";"PARQUE EVA DUARTE DE PERÓN , ASCENDIENTE 1:";"31004602";"2009-02-18 00:00:00.0";"0401010";"AE21";;"NO"
"20599";"Columpio en Área Infantil";"044";"GUINDALERA";"04";"SALAMANCA";"OPERATIVO";"443981.82";"4476428.866";"ETRS89";40.43661868;-3.66048385;"AVENIDA";"BRASILIA";"2";"28028";"PARQUE BREOGAN , ASCENDIENTE 1: 044 · GUINDA";"31026005";"2019-01-31 00:00:00.0";"0400102";"AE21";;"SI"
"20590";"Columpio en Área Infantil";"033";"ESTRELLA";"03";"RETIRO";"OPERATIVO";"443895.262";"4474144.473";"ETRS89";40.41603381;-3.66130276;"CALLE";"JUAN ESPLANDIU";"4";"28007";"PARQUE ROMA , ASCENDIENTE 1: 033 · BARRIO DE";"31020467";"2006-03-10 00:00:00.0";"0304308";"AE21";;"NO"
"20563";"Columpio en Área Infantil";"032";"ADELFAS";"03";"RETIRO";"OPERATIVO";"443297.95";"4472792.976";"ETRS89";40.40381830;-3.66822235;"CALLE";"LUIS MITJANS";"56";"28007";"PARQUE ADELFAS , ASCENDIENTE 1: 032 · ADELFA";"20008476";"2006-11-17 00:00:00.0";"0301603";"AE21";;"NO"
"24949";"Balancín en Área Infantil";"163";"CANILLAS";"16";"HORTALEZA";"OPERATIVO";"446033.452";"4479531.828";"ETRS89";40.46470751;-3.63655918;"CALLE";"MONTALBOS";"14";"28043";"C · CALLE MOLTALBOS , ASCENDIENTE 1: 163 · CANILL";"31045330";"2006-01-01 00:00:00.0";"1606402";"AE21";"0644 · PONY";
"24936";"Balancín en Área Infantil";"165";"APOSTOL SANTIAGO";"16";"HORTALEZA";"OPERATIVO";"443923.594";"4480956.541";"ETRS89";40.47740226;-3.66157028;"CALLE";"VELEZ RUBIO";"59";"28033";"C · CALLE VELEZ RUBIO 59 , ASCENDIENTE 1: 165 · A";"11121812";"2006-01-01 00:00:00.0";"1605404";"AE21";"0048 · CABALLO";
"24931";"Balancín en Área Infantil";"162";"PIOVERA";"16";"HORTALEZA";"OPERATIVO";"447041.898";"4479151.783";"ETRS89";40.46134875;-3.62463308;"CALLE";"DIONISIO INCA YUPANQUI";"10";"28043";"C · CALLE FLORENCIO CASTILLO 34 , ASCENDIENTE 1:";"20055354";"2004-01-01 00:00:00.0";"1605003";"AE21";"0826 · SPEEDY AZUL";
"24926";"Balancín en Área Infantil";"162";"PIOVERA";"16";"HORTALEZA";"OPERATIVO";"447142.294";"4479005.874";"ETRS89";40.46004071;-3.62343684;"CALLE";"FRANCISCO MOREJON";"9";"28043";"C · CALLE FRANCISCO MOREJON  7 , ASCENDIENTE 1: 1";"20084831";"2005-01-01 00:00:00.0";"1604613";"AE21";"0846 · BUGEE";
"24923";"Balancín en Área Infantil";"162";"PIOVERA";"16";"HORTALEZA";"OPERATIVO";"447143.437";"4478995.700";"ETRS89";40.45994913;-3.62342251;"CALLE";"FRANCISCO MOREJON";"9";"28043";"C · CALLE FRANCISCO MOREJON  7 , ASCENDIENTE 1: 1";"20084831";"2005-01-01 00:00:00.0";"1604603";"AE21";"1036 · ELEFANTE";
